4660	가	1	2000.03
4759	가	2	1996.10
6146	가	3	2000.01
7559	가	4	2001.11
59431	가	5	2014.10
62212	가	6	2002.05
64723	가	7	2005.06
88067	가	8	2014.10
92760	가	9	2019.03
41579	街 (ドラマ"夢のカリフォルニア")	10	2004.01
6051	가 버려	11	1999.11
49163	가 버린 여인	12	2016.06
82002	가 을 바장조 6/8	13	2007.02
9436	가(Miami Mix)	14	2003.08
59821	가가라이브 (Feat.175.211.*.*)	15	2015.11
45798	가거라 사랑아	16	2007.02
101	가거라 삼팔선	17	1992.02
80100	가거라 삼팔선 (Disco Ver.)	17	2007.02
92656	가거라 세월아	18	2019.02
801	가거라 슬픔이여	19	1992.02
1813	가고파	20	1993.03
88149	가고파(후편)	20	2015.01
87699	가고픈 부산 송도	21	2013.10
87799	가까워진다	22	2014.01
45157	가까이	23	2005.04
6129	가까이	24	1999.12
5610	가까이	25	1998.11
77401	가까이 가까이 (드라마"천 번째 남자")	26	2012.12
7140	가까이 가면	27	2002.03
2127	가까이 와봐	28	1993.07
1103	가까이 하기엔 너무 먼 당신	29	1992.06
77375	가까이(드라마 "아름다운 그대에게")	30	2012.11
86951	가까이하기엔 너무 먼 당신(이광조)	31	2011.09
62442	가깝고도 먼 당신	32	2002.07
68092	가끔	33	2004.06
48450	가끔	34	2014.06
78503	가끔 (드라마"그녀는 예뻤다")	35	2015.12
88971	가끔 (뜨거운 심장 양철 로봇)	36	2017.04
49356	가끔 (Feat.Crush,기리보이)	37	2017.01
78029	가끔 내가	38	2014.09
86760	가끔 미치도록 네가 안고 싶어질 때가 있어	39	2011.02
88862	가끔씩 (우지윤의 보컬 스틸)	40	2016.12
63268	가끔씩 눈물이 나죠	41	2003.06
3176	가끔씩 생각하지	42	1994.01
64132	가끔씩 연락해요	43	2003.11
88060	가끔씩 오래 보자 (Shin Dong Yeop)	44	2014.10
4200	가끔은	13	1998.02
78703	가끔은 그래도 괜찮아	45	2016.06
66920	가끔은 이렇게	46	2005.03
86597	가끔은 혼자 웁니다 (드라마"나쁜 남자")	47	2010.09
4201	가나다라마바사	48	1996.07
2017	가나다라마바사	49	1993.04
1432	가난한 그대 가슴에	50	1992.12
1324	가난한 마음	51	1992.10
64339	가난한 사랑	52	2004.06
85761	가난한 사랑	53	2008.05
83061	가난한 사랑	54	2007.09
83590	가난한 사랑	55	2008.08
4202	가난한 연인들의 기도	56	1996.07
7925	가난한 연인을 위하여	57	2002.11
63650	가난했던 그 시절 Ver 1. (나의라임오렌지나무)	58	2004.06
2128	가네 가네	59	1993.07
97823	가녀린 여인	60	2019.05
4203	가는 곳 어디이길래	61	1996.07
1641	가는 님 가는 정	62	1993.01
102	가는 봄 오는 봄	63	1992.02
103	가는 세월	64	1992.02
45638	가능성(Unplugged)	65	2006.09
6179	가니	66	2000.01
87741	가니 가라	67	2013.11
78110	가드 올리고 Bounce	5	2014.11
68261	가라	16	2005.07
6732	가라	68	2001.04
45609	가라	69	2006.08
66887	가라	70	2004.04
7652	가라 가라	71	2002.01
9602	가라 가라 가라	72	2003.12
46024	가라 사랑아	31	2007.10
87305	가라! 사랑아	73	2012.08
46803	가라지	74	2009.11
60020	가라지	75	2001.10
2545	가라지	76	1995.10
87303	가락지	77	2012.08
88156	가려나	20	2015.01
90470	가려진 눈물(드라마 "군주-가면의 주인")	78	2017.10
86028	가려진 시간 사이로	79	2009.02
69104	가려진 시간 사이로	80	2005.07
1343	가려진 시간 사이로	81	1992.10
47147	가려진 시간 사이로	31	2010.11
40653	家路	82	2004.01
